model,split,precision_pos,recall_pos,f1_pos
signal,train,0.96,0.16783216783216784,0.2857142857142857
signal,val,0.2,0.014492753623188406,0.02702702702702703
signal,test,0.5,0.03260869565217391,0.061224489795918366
direction,train,0.8888888888888888,0.9230769230769231,0.9056603773584906
direction,val,0.8636363636363636,0.6129032258064516,0.7169811320754716
direction,test,0.8260869565217391,0.6909090909090909,0.7524752475247525
