model,split,precision_pos,recall_pos,f1_pos
signal,train,0.5723270440251572,0.801762114537445,0.6678899082568808
signal,val,0.2,0.3783783783783784,0.2616822429906542
signal,test,0.2635135135135135,0.7222222222222222,0.38613861386138615
direction,train,0.4185022026431718,1.0,0.5900621118012422
direction,val,0.4594594594594595,1.0,0.6296296296296297
direction,test,0.7777777777777778,1.0,0.875
