model,split,class,precision,recall,f1,support
signal,train,move,0.6843137254901961,0.7521551724137931,0.7166324435318275,464.0
signal,val,move,0.6571428571428571,0.773109243697479,0.7104247104247104,119.0
signal,test,move,0.7361111111111112,0.7066666666666667,0.7210884353741497,150.0
direction,train,up,0.8666666666666667,0.8544600938967136,0.8605200945626478,213.0
direction,val,up,0.7058823529411765,0.6206896551724138,0.6605504587155964,58.0
direction,test,up,0.8026315789473685,0.7011494252873564,0.7484662576687117,87.0
combined_test,test,neutral,0.40540540540540543,0.4411764705882353,0.4225352112676056,68.0
combined_test,test,up,0.6029411764705882,0.47126436781609193,0.5290322580645161,87.0
combined_test,test,down,0.4342105263157895,0.5238095238095238,0.4748201438848921,63.0
