model,split,class,precision,recall,f1,support
signal,train,move,0.7106741573033708,0.7485207100591716,0.729106628242075,338.0
signal,val,move,0.5166666666666667,0.36470588235294116,0.42758620689655175,85.0
signal,test,move,0.5446428571428571,0.5258620689655172,0.5350877192982456,116.0
direction,train,up,0.8598726114649682,0.8940397350993378,0.8766233766233766,151.0
direction,val,up,0.8205128205128205,0.7804878048780488,0.8,41.0
direction,test,up,0.8225806451612904,0.7285714285714285,0.7727272727272727,70.0
combined_test,test,neutral,0.4811320754716981,0.5,0.49038461538461536,102.0
combined_test,test,up,0.5423728813559322,0.45714285714285713,0.49612403100775193,70.0
combined_test,test,down,0.2830188679245283,0.32608695652173914,0.30303030303030304,46.0
