model,split,class,precision,recall,f1,support
signal,train,move,0.6466165413533834,0.9885057471264368,0.7818181818181819,87.0
signal,val,move,0.1111111111111111,0.03571428571428571,0.05405405405405406,28.0
signal,test,move,0.1724137931034483,0.20833333333333334,0.18867924528301888,24.0
direction,train,up,1.0,1.0,1.0,38.0
direction,val,up,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
direction,test,up,0.7,0.7,0.7,10.0
combined_test,test,neutral,0.8994708994708994,0.8762886597938144,0.8877284595300261,194.0
combined_test,test,up,0.125,0.1,0.1111111111111111,10.0
combined_test,test,down,0.19047619047619047,0.2857142857142857,0.22857142857142856,14.0
