split,class,precision,recall,f1,support
train,up,0.6907216494845361,0.9436619718309859,0.7976190476190477,213.0
val,up,0.5079365079365079,0.5517241379310345,0.5289256198347108,58.0
test,up,0.6153846153846154,0.6436781609195402,0.6292134831460674,87.0
