split,class,precision,recall,f1,support
train,down,0.7169811320754716,0.9083665338645418,0.8014059753954306,251.0
val,down,0.4642857142857143,0.4262295081967213,0.4444444444444444,61.0
test,down,0.47619047619047616,0.6349206349206349,0.54421768707483,63.0
