model,split,class,precision,recall,f1,support
signal,train,move,0.7366071428571429,0.4881656804733728,0.5871886120996441,338.0
signal,val,move,0.5757575757575758,0.2235294117647059,0.3220338983050847,85.0
signal,test,move,0.5178571428571429,0.25,0.3372093023255814,116.0
direction,train,up,0.8598726114649682,0.8940397350993378,0.8766233766233766,151.0
direction,val,up,0.8205128205128205,0.7804878048780488,0.8,41.0
direction,test,up,0.8225806451612904,0.7285714285714285,0.7727272727272727,70.0
combined_test,test,neutral,0.46296296296296297,0.7352941176470589,0.5681818181818182,102.0
combined_test,test,up,0.48148148148148145,0.18571428571428572,0.26804123711340205,70.0
combined_test,test,down,0.27586206896551724,0.17391304347826086,0.21333333333333335,46.0
