split,class,precision,recall,f1,support
train,down,0.7044534412955465,0.93048128342246,0.8018433179723502,187.0
val,down,0.4444444444444444,0.45454545454545453,0.449438202247191,44.0
test,down,0.3466666666666667,0.5652173913043478,0.4297520661157025,46.0
