model,split,class,precision,recall,f1,support
signal,train,move,0.9324324324324325,0.8117647058823529,0.8679245283018868,255.0
signal,val,move,0.5045871559633027,0.6470588235294118,0.5670103092783505,85.0
signal,test,move,0.5522388059701493,0.6379310344827587,0.592,116.0
direction,train,up,0.8598726114649682,0.8940397350993378,0.8766233766233766,151.0
direction,val,up,0.8205128205128205,0.7804878048780488,0.8,41.0
direction,test,up,0.8225806451612904,0.7285714285714285,0.7727272727272727,70.0
combined_test,test,neutral,0.5,0.4117647058823529,0.45161290322580644,102.0
combined_test,test,up,0.4603174603174603,0.4142857142857143,0.43609022556390975,70.0
combined_test,test,down,0.29577464788732394,0.45652173913043476,0.358974358974359,46.0
