model,split,class,precision,recall,f1,support
signal,train,move,0.8601398601398601,0.6709090909090909,0.7538304392236976,550.0
signal,val,move,0.7558139534883721,0.47794117647058826,0.5855855855855856,136.0
signal,test,move,0.7720588235294118,0.6363636363636364,0.6976744186046512,165.0
direction,train,up,0.8260869565217391,0.7480314960629921,0.7851239669421488,254.0
direction,val,up,0.6851851851851852,0.5692307692307692,0.6218487394957983,65.0
direction,test,up,0.7682926829268293,0.6631578947368421,0.711864406779661,95.0
combined_test,test,neutral,0.2682926829268293,0.41509433962264153,0.32592592592592595,53.0
combined_test,test,up,0.6721311475409836,0.43157894736842106,0.5256410256410257,95.0
combined_test,test,down,0.49333333333333335,0.5285714285714286,0.5103448275862069,70.0
