model,split,class,precision,recall,f1,support
signal,train,move,0.8306010928961749,0.8994082840236687,0.8636363636363636,338.0
signal,val,move,0.5294117647058824,0.4235294117647059,0.47058823529411764,85.0
signal,test,move,0.5495495495495496,0.5258620689655172,0.5374449339207048,116.0
direction,train,up,0.8598726114649682,0.8940397350993378,0.8766233766233766,151.0
direction,val,up,0.8205128205128205,0.7804878048780488,0.8,41.0
direction,test,up,0.8225806451612904,0.7285714285714285,0.7727272727272727,70.0
combined_test,test,neutral,0.48598130841121495,0.5098039215686274,0.49760765550239233,102.0
combined_test,test,up,0.5454545454545454,0.42857142857142855,0.48,70.0
combined_test,test,down,0.30357142857142855,0.3695652173913043,0.3333333333333333,46.0
